"•ÈÀ""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61567,,,,,,,,,,37.45584,,,,,,,,,,41,,43,,,
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.21566,,,,,,,,,,31.05585,,,,,,,,,,34.6,,37,,,
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.44750705,,,,,,,,,,79.53695027,,,,,,,,,,84.34222469,,86.27075087,,,
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.22775,,,,,,,,,,90.89918,,,,,,,,,,94.1,,97.69783,,,
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20815,,,,,,,,,,92.34713,,,,,,,,,,94,,99.8,,,
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.28774,,,,,,,,,,98,,,,,,,,,,99.8,,100,,,
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.85883,,,,,,,,,,52.53027,,,,,,,,,,55.8,,59.32891,,,
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
