"Country Name","Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","15.834196369121","21.2608056842657","20.1069410228998","20.9261042279001","17.82626378517","16.8222447142506","14.22482628079","20.3840290081998","19.9556566271436","19.9630642352265","19.1593948140793","16.6165495845697","17.6234054770716","17.0652488118416","20.307574107072","19.8912888219892","20.3842360205843","22.0179649033579","22.1032510621213","25.4803884173733","25.4828610894249","24.0980759316387","24.9646618214416","24.4396830159153","22.6215623675069","23.1755360099238","23.3864782668681","21.5075544741917","23.8716901775772","24.1827823560123","25.4079625810908","26.6232550117771","29.8552727266266","29.4774672094753","24.9834441418099","29.1321485670284","31.8019256966088","34.6447610013559","38.071437864859","38.9565256409454","39.5575837910838","44.1787049222739","41.3195877980427","","",
"Albania","ALB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","74.6607032875427","77.1741106583994","74.3666339192289","75.3974630495873","75.7464247641652","76.1939197382069","75.8818779112211","78.0247036369265","75.0118130475276","80.9287927914084","78.0379104914866","77.836534442498","78.8759441227688","81.0974774748578","81.4337623759461","77.0583127402526","78.6375113710156","80.3814035334453","79.6938123131685","76.5939750800565","69.8249960719512","56.079290645733","53.4789779579446","54.8469148031933","49.5416411855723","45.453763744009","41.4493402366839","44.0945225488965","57.1696779014208","58.0171797316142","59.9724819682853","62.3799758757735","64.5283712223687","65.5782732614305","66.4866805505628","63.5505564378669","65.1223924710814","63.1343189131038","62.9289895233854","63.0060071058106","61.7657481960022","57.6323624250607","56.377338377529","","",
"Arab World","ARB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","82.2234488410661","83.0381227115943","84.6026236215635","85.5044630491672","85.78548007928","86.8463538028358","87.5011456564983","88.7644587134205","90.2794887642329","91.359214676145","91.5645557780595","92.245011134776","93.2635105192666","93.3684144115494","92.8407783326811","93.4053922902353","93.6653104076744","94.285048953226","94.3997464497625","93.6992709604354","92.9528645505897","94.1644424934261","94.4706282318828","94.1606770942239","94.8701633057333","94.7890526620917","95.008727710207","94.8674064806754","94.6560351078193","95.1472461601567","95.17623974021","95.2137545192885","95.301446563085","95.3091275083496","95.7502301517801","95.8185609281533","96.2713284649102","96.5446032791657","96.6629689734565","96.3523180010403","96.492006437681","96.6212820689181","97.1353653103709","","",
"United Arab Emirates","ARE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","100","100","100","100","100","100","100","100","99.999982044277","99.9999861727232","","","99.9999892637833","99.9999917201113","","100","100","100","100","100","","99.8552217089787","99.8873714104129","99.9096443670454","99.9149675375092","99.9435547224081","99.9428229489652","99.947226432446","99.9481185483963","99.950156624096","99.954719496365","99.958312586125","99.9579373820586","99.9409451179865","99.9339843700115","99.9266968188573","99.9193126335408","99.9178695431283","99.909197405278","99.9035185366592","99.8998655765664","99.9054578089943","99.9076195231479","","",
"Argentina","ARG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","92.8843965417758","93.2655509059515","93.3734989863051","91.5377905047007","91.6485582816537","92.1308887183161","92.3762472984253","90.951941331343","91.3661118076995","90.275258791395","90.0171816643094","90.44518434756","89.1618863394368","88.4582640871514","87.1563995094823","88.4528075835879","88.1619238652618","90.1834679315064","91.3792509919561","88.6540374379282","88.8565095948277","88.8080528369872","87.6938514558243","87.016060227616","87.1024307722174","87.7008707836693","86.8984154028116","86.7886513396384","88.2826467383449","88.3909243621927","85.9984937701559","85.8052090091539","86.0147138119322","89.3268960001193","89.0612896584032","88.6627073980175","89.2360182684584","90.6576557334263","89.6199951233433","89.5109284056132","89.6416518903184","89.7668987303502","88.9149940024566","","",
"Armenia","ARM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0440551837946","96.5165669381002","92.7192848878746","82.0637673121603","76.968403123853","84.2510636202063","57.650823952163","70.6360975745997","72.1261074932223","65.2516387031746","70.0489923558026","71.1767448005604","61.8060966393765","65.7106212999384","66.9014276132531","68.0984178691466","67.4958082381311","70.5525640010011","73.2861329083986","68.205458300287","67.4011084886","71.549929885755","77.3329432877543","75.4928438218553","","",
"American Samoa","ASM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","",
