"Country Name","Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","1.35116605916565","1.41064579258248","1.69472978835487","1.74859337383873","1.98256988619515","0.903806309259497","0.916739309108117","1.02803784867323","1.06582192891216","1.12139734392974","1.11404614724437","1.1977335189696","1.06744615633057","1.09858951359899","1.20808494709243","1.19432920464363","1.16616756129073","1.12066406307365","1.11030859523597","1.05980531537834","1.10211733286676","1.19254500891685","1.22001993092398","1.21032745671157","1.20957968356208","1.19989839703831","1.10328653296935","1.32972749046756","1.06090942584439","1.04594896811357","1.10961153320043","1.18388634074484","1.18530341928373","1.61214388893025","2.08921847700556","2.28015945894589","1.99338607455402","2.30452565114794","2.08929776293501","2.37366911652682","2.45911109287444","2.18967324813985","2.38068197950087","","",
"Albania","ALB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","3.50444575618605","3.98633521370928","5.53273763822282","6.1230313057775","6.91916245952089","7.45971570904735","8.14872719207006","7.9567283505864","10.2637591614659","8.25965463118542","9.72700960277978","9.98508275079277","9.67546752161423","7.96470500322404","6.74108181151762","11.9867517847337","10.1345385495896","8.66995851177501","9.14789279975118","9.16372686460897","16.1690247429667","20.4268465527359","21.4149444158498","22.9139214158182","27.1956805125856","34.7079221877643","35.7122032882039","32.3990911234486","26.0695155781657","22.4674867312745","17.2249080254943","15.4176062141731","21.4252178604729","21.7701924160339","21.428976857148","22.7538390237565","12.1866025224829","16.2117811993438","21.4583398333537","31.1499634949521","16.4033643939296","21.0182950705298","26.3205760835958","","",
"Arab World","ARB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","1.39955592957012","1.42315223557572","1.24070307161199","1.38769745627127","1.37184131918387","1.44218714142143","1.50756493820267","1.38647396362236","1.24436685183078","1.11211144780685","0.970850835935222","0.874440237290734","0.750291757805143","0.761582098896109","0.697011136997809","0.661179472217141","0.690019508782558","0.635704197651468","0.642997530693065","0.702413530812065","0.62540559443568","0.545271660967838","0.519547213089155","0.511509372645888","0.498480692215356","0.521575840899962","0.522270595350008","0.517348168111715","0.545090191911249","0.520236651302991","0.536940592106906","0.440770228201603","0.476702333559155","0.471971251081929","0.550709443270704","0.51491082940955","0.526518272688429","0.431939672769063","0.427166657180435","0.513124382179015","0.501567783938564","0.501920694409732","0.535504489424447","","",
"United Arab Emirates","ARE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Argentina","ARG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0.394625116986417","0.378243268463529","0.723501020663461","1.93473589630374","3.07011219007891","2.96125082241881","2.41597641955389","3.6517794276278","3.93754544001531","4.57346438177371","4.89051660889318","4.87040499457247","5.90908913758431","6.73856819925394","7.92815713940707","7.51037581498049","7.70049912691582","5.85858729379316","5.22107569618403","7.45575744115116","7.19336134959484","7.03231539585455","8.12675145849646","8.43566001714155","7.67085707946809","6.98389519621865","7.7535163619781","7.05123009599048","6.0712515899575","6.6379971776797","8.58387453793774","8.09292042736782","8.02432437026112","7.026052875157","7.05071974339468","7.23793472833445","6.09250511802848","5.82901918119768","6.6722598119228","6.04569735344007","5.47725368326329","5.254806288397","5.38448780279473","","",
"Armenia","ARM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73493719561083","1.63640429706899","6.33767951702865","16.8388722820262","21.9218108249659","14.8519505125503","41.5956879368912","28.914131580799","28.8081392742765","35.1651138665541","31.3194182467984","29.9675183036727","39.2933087043229","34.8847703204646","35.5851638974486","34.2427759653673","33.0240484016587","28.9164925130904","26.4995910546662","31.568562090752","35.0083219199735","32.3444671611979","27.0079745020607","27.6604188237257","","",
"American Samoa","ASM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","1.09212263493946","1.21669314531432","1.2406431433593","1.57816560113222","1.57271193993793","1.80835267053134","1.47021660855134","1.5044074397264","1.44745930183689","1.54794515629572","1.50403712348847","1.9296491018688","1.87181149807773","1.71997139158968","1.93076965109408","2.09709487648912","2.10286803623699","1.71519701092152","1.81006721289916","1.96420949863599","1.62704567438289","1.76252455587166","1.64053933585427","1.543305553382","1.49723637875791","1.68938335419568","1.796414987493","1.6113058527786","1.6861316536777","1.57501768212998","1.50279221518671","1.69225070882342","1.61388123171963","1.6528807025789","1.63695176032461","1.56170974309062","1.42455404467646","1.48344623964102","1.35329739157447","1.39348720487576","1.38466906102506","1.44940958279329","1.36013896160138","1.38225942215057","1.3441770913431","1.2885028517971","1.33987407912075","1.3184582884027","1.15299205178457","1.2231624447138","1.5134566851793","1.86624600537321","1.77929453353778","2.19038523734773","2.48121263046578","",
